iter	Passed	Remaining
0	3	335
1	5	280
2	7	244
3	9	219
4	11	213
5	13	208
6	15	206
7	17	201
8	19	198
9	21	193
10	23	187
11	25	183
12	26	179
13	28	174
14	30	172
15	32	171
16	34	168
17	36	165
18	38	162
19	39	159
20	41	155
21	42	152
22	45	150
23	46	148
24	48	145
25	50	142
26	52	140
27	53	137
28	54	134
29	56	132
30	58	129
31	60	127
32	61	124
33	62	121
34	63	118
35	65	116
36	66	113
37	67	110
38	69	108
39	70	105
40	71	103
41	72	99
42	73	97
43	75	95
44	76	92
45	77	90
46	78	88
47	79	86
48	80	84
49	82	82
50	83	80
51	85	78
52	86	77
53	88	75
54	89	73
55	90	70
56	91	68
57	91	66
58	92	64
59	92	61
60	93	59
61	94	57
62	94	55
63	95	53
64	95	51
65	96	49
66	97	47
67	97	45
68	98	44
69	99	42
70	99	40
71	100	39
72	100	37
73	101	35
74	102	34
75	102	32
76	103	30
77	104	29
78	104	27
79	105	26
80	106	24
81	106	23
82	107	22
83	108	20
84	108	19
85	109	17
86	109	16
87	110	15
88	111	13
89	111	12
90	112	11
91	113	9
92	113	8
93	114	7
94	114	6
95	115	4
96	116	3
97	116	2
98	117	1
99	117	0
